id,title,authors,abstract,published_date,category,url,last_updated
2601.18238,TechING: Towards Real World Technical Image Understanding via VLMs,"Tafazzul Nadeem, Bhavik Shangari, Manish Rai, Gagan Raj Gupta, Ashutosh Modi",professionals working in technical domain typically handdraw on whiteboard paper etc technical diagrams eg flowcharts block diagrams etc during discussions however if they want to edit these later it needs to be drawn from scratch modern day vlms have made tremendous progress in image understanding but they struggle when it comes to understanding technical diagrams one way to overcome this problem is to finetune on real world handdrawn images but it is not practically possible to generate large number of such images in this paper we introduce a large synthetically generated corpus reflective of real world images for training vlms and subsequently evaluate vlms on a smaller corpus of handdrawn images with the help of humans we introduce several new selfsupervision tasks for training and perform extensive experiments with various baseline models and finetune llama 32 11binstruct model on synthetic images on these tasks to obtain llamavltug which significantly improves the rougel performance of llama 32 11binstruct by 214x and achieves the best allround performance across all baseline models on realworld images human evaluation reveals that we achieve minimum compilation errors across all baselines in 7 out of 8 diagram types and improve the average f1 score of llama 32 11binstruct by 697x,[Submitted on 26 Jan 2026],Computation and Language (cs.CL),https://arxiv.org/abs/2601.18238,2026-01-27 17:52:59.692787
2601.1788,Quran-MD: A Fine-Grained Multilingual Multimodal Dataset of the Quran,"Muhammad Umar Salman, Mohammad Areeb Qazi, Mohammed Talha Alam",we present quran md a comprehensive multimodal dataset of the quran that integrates textual linguistic and audio dimensions at the verse and word levels for each verse ayah the dataset provides its original arabic text english translation and phonetic transliteration to capture the rich oral tradition of quranic recitation we include verselevel audio from 32 distinct reciters reflecting diverse recitation styles and dialectical nuances at the word level each token is paired with its corresponding arabic script english translation transliteration and an aligned audio recording allowing finegrained analysis of pronunciation phonology and semantic context this dataset supports various applications including natural language processing speech recognition texttospeech synthesis linguistic analysis and digital islamic studies bridging text and audio modalities across multiple reciters this dataset provides a unique resource to advance computational approaches to quranic recitation and study beyond enabling tasks such as asr tajweed detection and quranic tts it lays the foundation for multimodal embeddings semantic retrieval style transfer and personalized tutoring systems that can support both research and community applications the dataset is available at this https url,[Submitted on 25 Jan 2026],Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2601.17880,2026-01-27 17:52:59.692787
2601.1852,A BFBt preconditioner for Double Saddle-Point Systems,Chen Greif,we consider block preconditioners for double saddlepoint systems and investigate the effect of approximating the nested schur complement associated with the trailing diagonal block on the eigenvalue distribution of the preconditioned matrix we develop a variant of elmans bfbt method and adapt it to this family of linear systems our findings are illustrated on a markerandcell discretization of the stokesdarcy equations,[Submitted on 26 Jan 2026],Numerical Analysis (math.NA),https://arxiv.org/abs/2601.18520,2026-01-27 17:52:59.692787
2601.16482,Well-posedness of the Langmuir film problem,"Yoichiro Mori, Shinya Okabe, Koya Sakakibara",we analyze the inviscid langmuir layerstokesian subfluid illss model for twophase langmuir monolayers coupled to a stokes flow in the underlying subfluid eliminating the bulk variables we reformulate the coupled threedimensional system as an evolution on the film involving the dirichlettoneumann dtn operator we identify the fourier symbol of the dtn operator and show it coincides with that of the fractional laplacian which yields an explicit fouriermultiplier representation and allows construction of the corresponding fundamental solution using this representation we express the surface velocity as a convolution of the fundamental solution with the interfacial curvature forcing and analyze its normal limit to derive a boundary integral equation for the moving curve independently exploiting the dtn representation we establish a curveshortening identity the interfacial perimeter decreases monotonically and its time derivative is controlled by doth12mathbbr2norm of the surface velocity building on the boundary integral equation we prove local wellposedness via maximal l2regularity for quasilinear parabolic systems employing a deturcktype reparametrization and show equivalence with the original illss system finally we introduce a linearly implicit parametric finiteelement scheme which captures experimentally observed relaxation dynamics,[Submitted on 23 Jan 2026],Analysis of PDEs (math.AP),https://arxiv.org/abs/2601.16482,2026-01-27 17:52:59.692787
2601.17832,Computing bounded solutions to linear Diophantine equations with the sum of divisors,Max A. Alekseyev,we propose an efficient computational method for finding all solutions nleq u to the diophantine equation asigman  bn  c where integer coefficient abc and an upper bound u are given our method is implemented in sagemath computer algebra system within the framework of recursively enumerated sets and natively benefits from mapreduce parallelization we used it to discover new solutions to many published equations and close gaps in between the known large solutions including but not limited to hyperperfect and fperfect numbers as well as to significantly lift the existence bounds in open questions about quasiperfect and almostperfect numbers,[Submitted on 25 Jan 2026],Number Theory (math.NT),https://arxiv.org/abs/2601.17832,2026-01-27 17:52:59.692787
2601.18703,Chemotaxis-inspired PDE models of airborne infectious disease transmission: epidemiologically-motivated mathematical and numerical analyses,"Alex Viguerie, Malú Grave, Alvaro L.G.A. Coutinho, Alessandro Veneziani, Thomas J.R. Hughes",partial differential equation pde models for infectious diseases while less common than their ordinary differential equation ode counterparts have found successful applications for many years such models are typically of reactiondiffusion type and model spatial propagation as a diffusive process however given the complex nature of human mobility such models are limited in their ability to describe airborne infectious diseases in human populations recent work has advocated for the inclusion of an additional chemotaxistype term as an alternative spatial propagation of infection fronts is assumed additionally to flow from lowtohigh concentrations of susceptible populations the present work extends the study of such models by providing an epidemiologically interpretable analysis directly connecting model behavior to information readily available to policymakers in particular we derive a spatiallyaware basic reproduction number which accounts for spatial heterogeneity in population density furthermore we discuss several important aspects concerning the numerical solution of the model including the introduction of a stabilization scheme finally we perform a series of simulation studies in the italian region of lombardy severely affected by the covid19 outbreak in 2020 and in the us state of georgia in which we demonstrate the models potential to better capture important spatiotemporal dynamics observed in realworld data compared to pure reactiondiffusion models,[Submitted on 26 Jan 2026],Populations and Evolution (q-bio.PE),https://arxiv.org/abs/2601.18703,2026-01-27 17:52:59.692787
2601.18428,Collaposer: Transforming Photo Collections into Visual Assets for Storytelling with Collages,"Jiayi Zhou, Liwenhan Xie, Jiaju Ma, Zheng Wei, Huamin Qu, Anyi Rao","digital collage is an artistic practice that combines image cutouts to tell stories however preparing cutouts from a set of photos remains a tedious and timeconsuming task a formative study identified three main challenges 1 inefficient search for relevant photos 2 manual image cutout and 3 difficulty in organizing large sets of cutouts to meet these challenges and facilitate asset preparation for collage we propose collaposer a tool that transforms a collection of photos into organized readytouse visual cutouts based on userprovided story descriptions collaposer tags detects and segments photos and then uses an llm to select central and related labels based on the userprovided story description collaposer presents the resulting visuals in varying sizes clustered according to semantic hierarchy our evaluation shows that collaposer effectively automates the preparation process to produce diverse sets of visual cutouts adhering to the storyline allowing users to focus on collaging these assets for storytelling
project website this https url",[Submitted on 26 Jan 2026],Human-Computer Interaction (cs.HC),https://arxiv.org/abs/2601.18428,2026-01-27 17:52:59.692787
2601.182,HeterCSI: Channel-Adaptive Heterogeneous CSI Pretraining Framework for Generalized Wireless Foundation Models,"Chenyu Zhang, Xinchen Lyu, Chenshan Ren, Shuhan Liu, Qimei Cui, Xiaofeng Tao",wireless foundation models promise transformative capabilities for channel state information csi processing across diverse 6g network applications yet face fundamental challenges due to the inherent dual heterogeneity of csi across both scale and scenario dimensions however current pretraining approaches either constrain inputs to fixed dimensions or isolate training by scale limiting the generalization and scalability of wireless foundation models in this paper we propose hetercsi a channeladaptive pretraining framework that reconciles training efficiency with robust crossscenario generalization via a new understanding of gradient dynamics in heterogeneous csi pretraining our key insight reveals that csi scale heterogeneity primarily causes destructive gradient interference while scenario diversity actually promotes constructive gradient alignment when properly managed specifically we formulate heterogeneous csi batch construction as a partitioning optimization problem that minimizes zeropadding overhead while preserving scenario diversity to solve this we develop a scaleaware adaptive batching strategy that aligns csi samples of similar scales and design a doublemasking mechanism to isolate valid signals from padding artifacts extensive experiments on 12 datasets demonstrate that hetercsi establishes a generalized foundation model without scenariospecific finetuning achieving superior average performance over fullshot baselines compared to the stateoftheart zeroshot benchmark wifo it reduces nmse by 719 db 408 db and 527 db for csi reconstruction timedomain and frequencydomain prediction respectively the proposed hetercsi framework also reduces training latency by 53 compared to existing approaches while improving generalization performance by 153 db on average,[Submitted on 26 Jan 2026],Machine Learning (cs.LG),https://arxiv.org/abs/2601.18200,2026-01-27 17:52:59.692787
2601.1783,VAE-REPA: Variational Autoencoder Representation Alignment for Efficient Diffusion Training,"Mengmeng Wang, Dengyang Jiang, Liuzhuozheng Li, Yucheng Lin, Guojiang Shen, Xiangjie Kong, Yong Liu, Guang Dai, Jingdong Wang",denoisingbased diffusion transformers despite their strong generation performance suffer from inefficient training convergence existing methods addressing this issue such as repa relying on external representation encoders or sra requiring dualmodel setups inevitably incur heavy computational overhead during training due to external dependencies to tackle these challenges this paper proposes textbfnamex a lightweight intrinsic guidance framework for efficient diffusion training name leverages offtheshelf pretrained variational autoencoder vae features their reconstruction property ensures inherent encoding of visual priors like rich texture details structural patterns and basic semantic information specifically name aligns the intermediate latent features of diffusion transformers with vae features via a lightweight projection layer supervised by a feature alignment loss this design accelerates training without extra representation encoders or dualmodel maintenance resulting in a simple yet effective pipeline extensive experiments demonstrate that name improves both generation quality and training convergence speed compared to vanilla diffusion transformers matches or outperforms stateoftheart acceleration methods and incurs merely 4 extra gflops with zero additional cost for external guidance models,[Submitted on 25 Jan 2026],Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2601.17830,2026-01-27 17:52:59.692787
2601.18167,A necessary condition for the logarithmic Minkowksi problem in higher dimension,"Mijia Lai, Zixiao Wang",in this paper we establish a necessary condition for the logarithmic minkowski problem in higher dimensions this result generalizes a necessary condition proposed by liu lu sun and xiong in their investigation of the twodimensional case and also refines the socalled subspace concentration condition,[Submitted on 26 Jan 2026],Differential Geometry (math.DG),https://arxiv.org/abs/2601.18167,2026-01-27 17:52:59.692787
2601.18253,BoRP: Bootstrapped Regression Probing for Scalable and Human-Aligned LLM Evaluation,"Peng Sun, Xiangyu Zhang, Duan Wu",accurate evaluation of user satisfaction is critical for iterative development of conversational ai however for openended assistants traditional ab testing lacks reliable metrics explicit feedback is sparse while implicit metrics are ambiguous to bridge this gap we introduce borp bootstrapped regression probing a scalable framework for highfidelity satisfaction evaluation unlike generative approaches borp leverages the geometric properties of llm latent space it employs a polarizationindexbased bootstrapping mechanism to automate rubric generation and utilizes partial least squares pls to map hidden states to continuous scores experiments on industrial datasets show that borp qwen38b14b significantly outperforms generative baselines even qwen3max in alignment with human judgments furthermore borp reduces inference costs by orders of magnitude enabling fullscale monitoring and highly sensitive ab testing via cuped,[Submitted on 26 Jan 2026],Computation and Language (cs.CL),https://arxiv.org/abs/2601.18253,2026-01-27 17:52:59.692787
2601.16599,An Explicit Upper Bound of Generalized Quadratic Gauss Sums and Its Applications for Asymptotically Optimal Aperiodic Polyphase Sequence Design,"Huaning Liu, Zilong Liu",this work is motivated by the longstanding open problem of designing asymptotically orderoptimal aperiodic polyphase sequence sets with respect to the celebrated welch bound attempts were made by mow over 30 years ago but a comprehensive understanding to this problem is lacking our first key contribution is an explicit upper bound of generalized quadratic gauss sums which is obtained by recursively applying paris asymptotic expansion and then bounding it by leveraging the fast convergence property of the fibonacci zeta function building upon this major finding our second key contribution includes four systematic constructions of orderoptimal sequence sets with low aperiodic correlation andor ambiguity properties via carefully selected chu sequences and alltop sequences for the first time in the literature we reveal that the full alltop sequence set is asymptotically optimal for its low aperiodic correlation sidelobes besides we introduce a novel subset of alltop sequences possessing both orderoptimal aperiodic correlation and ambiguity properties for the entire timeshift window,[Submitted on 23 Jan 2026],Information Theory (cs.IT),https://arxiv.org/abs/2601.16599,2026-01-27 17:52:59.692787
2601.1874,A Scanning-Based Indoor Optical Wireless Positioning System with Single VCSEL,"Yicheng Dong, Rashid Iqbal, Julien Le Kernec, Hanaa Abumarshoud",this paper presents a novel indoor visible light positioning vlp system utilising one verticalcavity surfaceemitting laser installed at the ceiling centre of a space the system offers threedimensional localisation by sweeping through space at onedegree resolution in two dimensions azimuth and elevation significantly simplifying hardware through incorporating the angle of arrival and received signal strength this system demonstrates excellent precision in indoor positioning simulation results verify that the system attains subcentimetre precision for most test points outperforming conventional multitransmitter vlp schemes in costefficiency and simplicity,[Submitted on 26 Jan 2026],Information Theory (cs.IT),https://arxiv.org/abs/2601.18740,2026-01-27 17:52:59.692787
2601.18406,Validity of the stochastic Ginzburg-Landau approximation in higher space dimensions -A Wiener algebra approach-,"Anna Logioti, Guido Schneider",we consider an anisotropic ddimensional swifthohenberg model  mathcalovarepsilon2 close to the first instability where  0  varepsilon ll 1  is a small perturbation parameter this model for pattern formation is perturbed with additive noise in time and space by a multiple scaling ansatz we derive a stochastic  d dimensional ginzburglandau equation for the approximate description of the bifurcating solutions we prove the validity of the approximation by this amplitude equation on its natural time scale in case of  d dimensional periodic domains of length  mathcalo1varepsilon  for the swifthohenberg model under suitable conditions on the additive noise in detail we prove the validity of this approximation for noise whose set of fourier coefficients with respect to  x  is in  ell1  for fixed  t geq 0  moreover we improve existing approximation results in the sense that the stable part of the noise can be larger,[Submitted on 26 Jan 2026],Probability (math.PR),https://arxiv.org/abs/2601.18406,2026-01-27 17:52:59.692787
2601.17912,Causal Pre-training Under the Fairness Lens: An Empirical Study of TabPFN,"Qinyi Liu, Mohammad Khalil, Naman Goel",foundation models for tabular data such as the tabular priordata fitted network tabpfn are pretrained on a massive number of synthetic datasets generated by structural causal models scm they leverage incontext learning to offer high predictive accuracy in realworld tasks however the fairness properties of these foundational models which incorporate ideas from causal reasoning during pretraining have not yet been explored in sufficient depth in this work we conduct a comprehensive empirical evaluation of tabpfn and its finetuned variants assessing predictive performance fairness and robustness across varying dataset sizes and distributional shifts our results reveal that while tabpfn achieves stronger predictive accuracy compared to baselines and exhibits robustness to spurious correlations improvements in fairness are moderate and inconsistent particularly under missingnotatrandom mnar covariate shifts these findings suggest that the causal pretraining in tabpfn is helpful but insufficient for algorithmic fairness highlighting implications for deploying such models in practice and the need for further fairness interventions,[Submitted on 25 Jan 2026],Machine Learning (cs.LG),https://arxiv.org/abs/2601.17912,2026-01-27 17:52:59.692787
2601.17265,Covariate-assisted Grade of Membership Models via Shared Latent Geometry,"Zhiyu Xu, Yuqi Gu",the grade of membership model is a flexible latent variable model for analyzing multivariate categorical data through individuallevel mixed membership scores in many modern applications auxiliary covariates are collected alongside responses and encode information about the same latent structure traditional approaches to incorporating such covariates typically rely on fully specified joint likelihoods which are computationally intensive and sensitive to misspecification we introduce a covariateassisted grade of membership model that integrates response and covariate information by exploiting their shared lowrank simplex geometry rather than modeling their joint distribution we propose a likelihoodfree spectral estimation procedure that combines heterogeneous data sources through a balance parameter controlling their relative contribution to accommodate highdimensional and heteroskedastic noise we employ heteroskedastic principal component analysis before performing simplexbased geometric recovery our theoretical analysis establishes weaker identifiability conditions than those required in the covariatefree model and further derives finitesample entrywise error bounds for both mixed membership scores and item parameters these results demonstrate that auxiliary covariates can provably improve latent structure recovery yielding faster convergence rates in highdimensional regimes simulation studies and an application to educational assessment data illustrate the computational efficiency statistical accuracy and interpretability gains of the proposed method the code for reproducing these results is opensource and available at textttthis https url,[Submitted on 24 Jan 2026],Methodology (stat.ME),https://arxiv.org/abs/2601.17265,2026-01-27 17:52:59.692787
2601.18399,Estimating Dense-Packed Zone Height in Liquid-Liquid Separation: A Physics-Informed Neural Network Approach,"Mehmet Velioglu, Song Zhai, Alexander Mitsos, Adel Mhamdi, Andreas Jupke, Manuel Dahmen",separating liquidliquid dispersions in gravity settlers is critical in chemical pharmaceutical and recycling processes the densepacked zone height is an important performance and safety indicator but it is often expensive and impractical to measure due to optical limitations we propose to estimate phase heights using only inexpensive volume flow measurements to this end a physicsinformed neural network pinn is first pretrained on synthetic data and physics equations derived from a lowfidelity approximate mechanistic model to reduce the need for extensive experimental data while the mechanistic model is used to generate synthetic training data only volume balance equations are used in the pinn since the integration of submodels describing droplet coalescence and sedimentation into the pinn would be computationally prohibitive the pretrained pinn is then finetuned with scarce experimental data to capture the actual dynamics of the separator we then employ the differentiable pinn as a predictive model in an extended kalman filter inspired state estimation framework enabling the phase heights to be tracked and updated from flowrate measurements we first test the twostage trained pinn by forward simulation from a known initial state against the mechanistic model and a nonpretrained pinn we then evaluate phase height estimation performance with the filter comparing the twostage trained pinn with a twostage trained purely datadriven neural network all model types are trained and evaluated using ensembles to account for model parameter uncertainty in all evaluations the twostage trained pinn yields the most accurate phaseheight estimates,[Submitted on 26 Jan 2026],Machine Learning (cs.LG),https://arxiv.org/abs/2601.18399,2026-01-27 17:52:59.692787
2601.12707,Decoding Rewards in Competitive Games: Inverse Game Theory with Entropy Regularization,"Junyi Liao, Zihan Zhu, Ethan Fang, Zhuoran Yang, Vahid Tarokh",estimating the unknown reward functions driving agents behaviors is of central interest in inverse reinforcement learning and game theory to tackle this problem we develop a unified framework for reward function recovery in twoplayer zerosum matrix games and markov games with entropy regularization where we aim to reconstruct the underlying reward functions given observed players strategies and actions this task is challenging due to the inherent ambiguity of inverse problems the nonuniqueness of feasible rewards and limited observational data coverage to address these challenges we establish the reward functions identifiability using the quantal response equilibrium qre under linear assumptions building upon this theoretical foundation we propose a novel algorithm to learn reward functions from observed actions our algorithm works in both static and dynamic settings and is adaptable to incorporate different methods such as maximum likelihood estimation mle we provide strong theoretical guarantees for the reliability and sample efficiency of our algorithm further we conduct extensive numerical studies to demonstrate the practical effectiveness of the proposed framework offering new insights into decisionmaking in competitive environments,[Submitted on 19 Jan 2026],Machine Learning (cs.LG),https://arxiv.org/abs/2601.12707,2026-01-27 17:52:59.692787
2601.18687,An Explicit Entire Function of Order One with All Zeros on a Line and Bounded in a Half-Plane,Ralph Furmaniak,we construct a single explicit entire function xi_cs of order 1 with all zeros provably on res  12 satisfying a functional equation xi_cs  xi_c1s whose normalized form z_cs  xi_cstfrac12ss1pis2gammas2 is uniformly bounded for res  1  delta yet satisfies sup_tz_c1it  infty the function thus satisfies an analogue of the riemann hypothesis together with the sharp boundedunbounded transition at sigma  1 characteristic of zeta the construction uses hadamard products with controlled zero perturbations the transition is proved unconditionally via a dyadic largesieve argument and a phragménlindelöf transfer,[Submitted on 26 Jan 2026],Number Theory (math.NT),https://arxiv.org/abs/2601.18687,2026-01-27 17:52:59.692787
2601.16784,Spectral embedding of inhomogeneous Poisson processes on multiplex networks,"Joshua Corneck, Edward A. K. Cohen, Francesco Sanna Passino",in many realworld networks data on the edges evolve in continuous time naturally motivating representations based on point processes heterogeneity in edge types further gives rise to multiplex network point processes in this work we propose a model for multiplex network data observed in continuoustime we establish twotoinfinity norm consistency and asymptotic normality for spectralembeddingbased estimation of the model parameters as both network size and time resolution increase drawing inspiration from random dot product graph models each edge intensity is expressed as the inner product of two lowdimensional latent positions one dynamic and layeragnostic the other static and layerdependent these latent positions constitute the primary objects of inference which is conducted via spectral embedding methods our theoretical results are established under a histogram estimator of the network intensities and provide justification for applying a doubly unfolded adjacency spectral embedding method for estimation simulations and realdata analyses demonstrate the effectiveness of the proposed model and inference procedure,[Submitted on 23 Jan 2026],Methodology (stat.ME),https://arxiv.org/abs/2601.16784,2026-01-27 17:52:59.692787
2601.16937,The geometry of tilting composition series via Richardson varieties,"Joseph Baine, Chris Hone",we prove the graded jordanhölder multiplicities of mixed tilting sheaves on flag varieties admit a geometric interpretation as the hypercohomology of certain sheaves on richardson varieties in the langlands dual flag variety these sheaves are a motivic variant of geometric extensions and provide a replacement for parity sheaves on the richardson variety we also provide an explicit formula for these multiplicities in terms of ellkazhdanlusztig polynomials,[Submitted on 23 Jan 2026],Representation Theory (math.RT),https://arxiv.org/abs/2601.16937,2026-01-27 17:52:59.692787
